,species,ln_r_mu,ln_r_sd,r_mean,r_var,dispersion,r_orig,r,r_lower_bound,r_upper_bound,r_bound_note,source,link,congener_sp,alt_species
104,Pandalus borealis,NA,NA,NA,NA,NA,0.6662122095,0.58,0.38,0.87,95% CL,SLB,https://www.sealifebase.ca/summary/Pandalus-borealis.html,,
105,Macruronus magellanicus,-2.303642271,0.2083874667,0.1020870292,0.0004625387651,0.004530827951,0.1020613632,,,,,,,,
106,Gadus macrocephalus,-1.375992632,0.1326933452,0.2548222923,0.001153458986,0.004526523077,0.2548118123,,,,,,,,
107,Sebastes alutus,-3.034548161,0.08708205745,0.04827910026,1.77E-05,0.0003675058533,0.04827862634,,,,,,,,
108,Panopea generosa,NA,NA,NA,NA,NA,0.6662122095,0.37,0.24,0.55,95% CL,SLB,https://www.sealifebase.ca/summary/Panopea-abrupta.html,Panopea abrupta,
109,Merluccius productus,-2.14282742,0.2164482881,0.1201033701,0.0006918815248,0.005760716991,0.1200503026,,,,,,,,
110,Pleuronectes platessa,-1.350059362,0.0598680193,0.2596898428,0.0002421465212,0.0009324450992,0.2596882421,,,,,,,,
111,Pollachius virens,-1.230966019,0.07214793077,0.2927713479,0.0004473379222,0.001527942968,0.2927714522,,,,,,,,
112,Lamna nasus,-3.156826024,0.2648648155,0.04407999012,0.0001412063356,0.003203411235,0.0440619811,,,,,,,,
113,Trisopterus minutus,-0.3471399449,0.08494988294,0.7092609947,0.003643390359,0.005136882454,0.7092563648,,,,,,,,
114,Eopsetta jordani,-2.207334105,0.2142721259,0.1125477353,0.0005951313171,0.00528781246,0.1124923791,,,,,,,,
115,Dissostichus eleginoides,-2.24059883,0.1351629331,0.1073710892,0.0002125509444,0.001979591955,0.1073627305,,,,,,,,
116,Pagrus major,-0.9508638651,0.1118507364,0.3888317409,0.001903358459,0.004895069663,0.3888245471,,,,,,,,
117,Pagellus bogaraveo,-1.148412291,0.07346169839,0.3179967933,0.0005471920753,0.001720747148,0.3179933643,,,,,,,,
118,Chaceon quinquedens,NA,NA,NA,NA,NA,0.8274716663,0.42,0.27,0.64,95% CL,SLB,https://www.sealifebase.ca/summary/Chaceon-maritae.html,Chaceon maritae,
119,Aristeus antennatus,NA,NA,NA,NA,NA,0.3384717252,0.48,0.32,0.72,95% CL,SLB,https://www.sealifebase.ca/summary/Aristeus-antennatus.html,,
120,Glyptocephalus zachirus,-1.694749025,0.1770366397,0.1865458848,0.0011079528,0.005939304429,0.1865120736,,,,,,,,
121,Sebastes aleutianus,-3.29374817,0.2514017417,0.03830607602,9.57E-05,0.002499198975,0.03829062493,,,,,,,,
122,Epinephelus morio,-1.540547642,0.07812275296,0.2149185715,0.0002827671324,0.001315694267,0.2149171462,,,,,,,,
123,Paralithodes camtschaticus,NA,NA,NA,NA,NA,0.8735506743,,,,,,,,
124,Mullus barbatus,NA,NA,NA,NA,NA,0.7716969786,0.68,0.42,1.04,95% CL,FB,https://www.fishbase.se/summary/Mullus-barbatus+barbatus.html,,
125,Cancer irroratus,NA,NA,NA,NA,NA,0.1144767806,0.46,0.31,0.69,95% CL,SLB,https://www.sealifebase.ca/summary/Cancer-pagurus.html,Cancer pagurus,
126,Pagellus bellottii,-0.3922108513,0.08431356852,0.6779671372,0.003279116103,0.004836688864,0.6779514089,,,,,,,,
127,Jasus edwardsii,NA,NA,NA,NA,NA,0.08971571552,0.52,0.34,0.78,95% CL,SLB,https://www.sealifebase.ca/summary/Jasus-edwardsii.html,,
128,Sardinella aurita,-0.395357867,0.05033325804,0.6742925927,0.001153339347,0.001710443447,0.6742916464,,,,,,,,
129,Lutjanus campechanus,-1.040515106,0.05809987533,0.3538694183,0.0004234183474,0.001196538399,0.3538680719,,,,,,,,
130,Lepidopsetta bilineata,-1.754182449,0.1195540249,0.1742897968,0.0004373002729,0.002509041155,0.1742846273,,,,,,,,
131,Pleuroncodes monodon,NA,NA,NA,NA,NA,0.07659571437,,,,,,,,
132,Anoplopoma fimbria,-3.347511253,0.1153092355,0.03540638376,1.68E-05,0.0004739147154,0.03540396047,,,,,,,,
133,Istiophorus albicans,-0.5582311261,0.1358951945,0.5775285653,0.006216865588,0.01076460276,0.5775139828,,,,,,,,
134,Sardinops sagax,-1.054578397,0.03757368492,0.3485852335,0.0001716691081,0.0004924738389,0.348584981,,,,,,,,
135,Sardina pilchardus,-0.6398790927,0.03754104206,0.5277279218,0.0003927704998,0.0007442670429,0.5277274781,,,,,,,,
136,Cololabis saira,-0.7888470348,0.1733531155,0.4612470942,0.006490415318,0.01407144977,0.4610988715,,,,,,,,
137,Sebastes jordani,-2.35925149,0.1842088499,0.096107777,0.0003188066101,0.003317178069,0.09610086465,,,,,,,,
138,Thunnus maccoyii,-2.298084236,0.1660237124,0.1018450947,0.0002898809268,0.002846292478,0.1018302352,,,,,,,,
139,Micromesistius australis,-1.985372385,0.1476660189,0.1388349087,0.0004249149835,0.003060577397,0.1388148316,,,,,,,,
140,Placopecten magellanicus,NA,NA,NA,NA,NA,0.5121718317,0.56,0.37,0.84,95% CL,SLB,https://www.sealifebase.ca/summary/Placopecten-magellanicus.html,,
141,Metanephrops challengeri,NA,NA,NA,NA,NA,0.196296302,,,,,,,,
142,Stenotomus chrysops,-1.07092027,0.1674144808,0.3475292427,0.003432962674,0.009878198011,0.3474566575,,,,,,,,
143,Squalus acanthias,-3.118442707,0.08849015631,0.04439948302,1.55E-05,0.0003490352747,0.04439861563,,,,,,,,
144,Paralichthys dentatus,0.2835274087,0.1098076373,1.335834603,0.02164668529,0.01620461488,1.335814732,,,,,,,,
145,Isurus oxyrinchus,-2.418964111,0.1255549132,0.0897181586,0.0001278956405,0.00142552681,0.08971571552,,,,,,,,
146,Merluccius bilinearis,-1.875896718,0.1125128149,0.1541903885,0.0003028798501,0.001964323801,0.1541898531,,,,,,,,
147,Seriolella punctata,-1.360956024,0.1926415645,0.2612178258,0.002579817812,0.009876117008,0.2611480125,,,,,,,,
148,Katsuwonus pelamis,-0.6856336269,0.04926297441,0.5043825825,0.000618142367,0.00122554265,0.5043813366,,,,,,,,
149,Pseudocyttus maculatus,-2.227680772,0.1967180169,0.1098838058,0.0004764155391,0.004335630129,0.1098556159,,,,,,,,
150,Squilla mantis,NA,NA,NA,NA,NA,0.07547656954,0.56,0.37,0.84,95% CL,SLB,https://www.sealifebase.ca/summary/Squilla-mantis.html,,
151,Mullus surmuletus,-0.4226476881,0.04870773384,0.6560872693,0.001022431783,0.00155837772,0.6560855392,,,,,,,,
152,Chionoecetes opilio,NA,NA,NA,NA,NA,0.1159685297,0.58,0.38,0.87,95% CL,SLB,https://www.sealifebase.ca/summary/Chionoecetes-opilio.html,,
153,Sebastes diploproa,-2.628681053,0.5902061908,0.08590533208,0.003075269071,0.03579834914,0.08517461966,,,,,,,,
154,Solea solea,-1.158813672,0.04951934387,0.3142433512,0.0002424457348,0.0007715222419,0.3142423598,,,,,,,,
155,Merluccius australis,-2.886658077,0.1537541841,0.05642528517,7.62E-05,0.001349805515,0.05642502415,,,,,,,,
156,Scomberomorus maculatus,-0.5959388307,0.07758834084,0.5527061155,0.001844545367,0.003337298638,0.5526985063,,,,,,,,
157,Scomberomorus niphonius,-0.6547495905,0.1531688589,0.5257028022,0.006560333591,0.01247916801,0.5256824326,,,,,,,,
158,Merluccius gayi,NA,NA,NA,NA,NA,0.1379772857,0.418,0.274,0.638,average of 95% CL,FB,,,
159,Sprattus sprattus,-0.745716535,0.07026783782,0.4755668821,0.001119461102,0.002353950925,0.4755572106,,,,,,,,
160,Squalus suckleyi,-3.748281663,0.1503319567,0.02382590573,1.30E-05,0.0005445888477,0.02382504151,,,,,,,,
161,Mya arenaria,NA,NA,NA,NA,NA,0.1454651903,,,,,,,,
162,Palinurus gilchristi,NA,NA,NA,NA,NA,0.393672998,0.22,0.13,0.37,95% CL,SLB,https://www.sealifebase.ca/summary/Palinurus-elephas.html,Palinurus elephas,
163,Sebastolobus alascanus,-2.943090587,0.2185531903,0.05397642843,0.0001425397591,0.002640777896,0.05393524493,,,,,,,,
164,Platichthys stellatus,-1.378757028,0.1810345515,0.256053141,0.002184335127,0.00853078825,0.2559977444,,,,,,,,
